Workshop Name,Workshop Date,Workshop Price,Workshop Units,Workshop Studio,Workshop Address,URL_E
Lap & Strip (ALL LEVELS)  *Valentine`s Edition,Feb10Samstag,"ab 35,00 €",1 Einheit,Soultide,"Süderstraße 159A, 20537 Hamburg",https://www.eversports.de/e/workshop/Q5aPZDK
Lap Dance I Hot as Hell (Intermediate),Feb10Samstag,"ab 35,00 €",1 Einheit,Soultide,"Süderstraße 159A, 20537 Hamburg",https://www.eversports.de/e/workshop/I9MFy2z
Pole Straps Intermediate Workshop,Feb03Samstag,"ab 30,00 €",1 Einheit,Pole and Move Mannheim,"Edisonstraße 20, 68309 Mannheim",https://www.eversports.de/e/workshop/UZAUnxM
Pole Straps Beginner Workshop,Feb03Samstag,"ab 30,00 €",1 Einheit,Pole and Move Mannheim,"Edisonstraße 20, 68309 Mannheim",https://www.eversports.de/e/workshop/-IGRjIZ
Handstand Workshop,März09Samstag,"ab 30,00 €",1 Einheit,Pole and Move Mannheim,"Edisonstraße 20, 68309 Mannheim",https://www.eversports.de/e/workshop/gbofUBp
Aerial Hoop Choreo Workshop ,März09Samstag,"ab 30,00 €",1 Einheit,Pole and Move Mannheim,"Edisonstraße 20, 68309 Mannheim",https://www.eversports.de/e/workshop/NFfn_y6
We love Pancakes - mit Caroline Lange,März22Freitag,"ab 59,00 €",1 Einheit,Pole and Move Mannheim,"Edisonstraße 20, 68309 Mannheim",https://www.eversports.de/e/workshop/miY7n0b
Aerial Hoop Choreo Workshop ,Apr13Samstag,"ab 30,00 €",1 Einheit,Pole and Move Mannheim,"Edisonstraße 20, 68309 Mannheim",https://www.eversports.de/e/workshop/C9b62JT
Handstand Workshop,Apr13Samstag,"ab 30,00 €",1 Einheit,Pole and Move Mannheim,"Edisonstraße 20, 68309 Mannheim",https://www.eversports.de/e/workshop/0fonSE4
Show Night ,Jan27Samstag,"ab 10,00 €",1 Einheit,POLE HEROES,"Karl-Zucker-Straße 7-9, 91052 Erlangen",https://www.eversports.de/e/workshop/6blRZdc
Aerial Silks ,Feb09bis Feb 16,"ab 50,00 €",2 Einheiten,POLE HEROES,"Karl-Zucker-Straße 7-9, 91052 Erlangen",https://www.eversports.de/e/workshop/qyrtCxT
Aerial Silks ,Feb09bis Feb 16,"ab 50,00 €",2 Einheiten,POLE HEROES,"Karl-Zucker-Straße 7-9, 91052 Erlangen",https://www.eversports.de/e/workshop/XbedbNM
Aerial Hoop 1,März07bis März 28,"ab 90,00 €",4 Einheiten,POLE HEROES,"Karl-Zucker-Straße 7-9, 91052 Erlangen",https://www.eversports.de/e/workshop/_cVfx28
Aerial Hoop 2,März07bis März 28,"ab 105,00 €",4 Einheiten,POLE HEROES,"Karl-Zucker-Straße 7-9, 91052 Erlangen",https://www.eversports.de/e/workshop/vPqMS0U
Poledance Anfänger Workshop - 4 Wochen,Jan05bis Jan 26,"ab 69,00 €",4 Einheiten,PoleRoom Braunschweig,"Büchnerstraße 10, 38118 Braunschweig",https://www.eversports.de/e/workshop/TxFNxWf
Poledance Einsteiger Workshop - 4 Wochen,Jan08bis Jan 29,Ausgebucht,4 Einheiten,PoleRoom Braunschweig,"Büchnerstraße 10, 38118 Braunschweig",https://www.eversports.de/e/workshop/ITccdPW
Aerial Hoop Einsteiger Workshop,Jan30bis Feb 20,"ab 69,00 €",4 Einheiten,PoleRoom Braunschweig,"Büchnerstraße 10, 38118 Braunschweig",https://www.eversports.de/e/workshop/5FIBkpe
Poledance Einsteiger Workshop - Neujahrs Special ,Feb05bis Feb 26,Ausgebucht,4 Einheiten,PoleRoom Braunschweig,"Büchnerstraße 10, 38118 Braunschweig",https://www.eversports.de/e/workshop/GB5CNr0
Aerial Hoop Double - Workshop,März03Sonntag,"ab 39,00 €",1 Einheit,PoleRoom Braunschweig,"Büchnerstraße 10, 38118 Braunschweig",https://www.eversports.de/e/workshop/1pzXUtZ
Poledance Einsteiger Workshop,März04bis März 25,"ab 69,00 €",4 Einheiten,PoleRoom Braunschweig,"Büchnerstraße 10, 38118 Braunschweig",https://www.eversports.de/e/workshop/fx6DrZ8
Lap Dance - Get Closer! in Quierschied,Feb04Sonntag,"ab 45,00 €",1 Einheit,Aerial Art Poledance,"Holzer Straße 98, 66287 Quierschied",https://www.eversports.de/e/workshop/1pLUOJO
VALENTIN´S SPECIAL ,Feb03bis Feb 04,"ab 30,00 €",4 Einheiten,The Pole Lounge,"Goethestraße 6b, 39108 Magdeburg",https://www.eversports.de/e/workshop/QD21QTN
Dineke Minten - Fonji Fiesta,März16Samstag,"ab 70,00 €",1 Einheit,Pole Oase,"Kleine Grabenstraße 1, 65385 Rüdesheim am Rhein",https://www.eversports.de/e/workshop/9cNbxVS
Dineke Minten - Fierce Lioness,März16Samstag,"ab 70,00 €",1 Einheit,Pole Oase,"Kleine Grabenstraße 1, 65385 Rüdesheim am Rhein",https://www.eversports.de/e/workshop/FkutCDr
Dineke Minten - Tricks and Flips,März16Samstag,"ab 70,00 €",1 Einheit,Pole Oase,"Kleine Grabenstraße 1, 65385 Rüdesheim am Rhein",https://www.eversports.de/e/workshop/qzt25WB
Julias Static Transitions,Jan28Sonntag,"ab 25,00 €",1 Einheit,Pura Studio,"Schaufenberger Straße 61, 52477 Alsdorf",https://www.eversports.de/e/workshop/4v8G7Xw
Life is better upside down /Handstand,Feb04Sonntag,"ab 25,00 €",1 Einheit,Pura Studio,"Schaufenberger Straße 61, 52477 Alsdorf",https://www.eversports.de/e/workshop/Gc0_BuG
Valentines Acro Yoga,Feb14Mittwoch,"ab 39,00 €",1 Einheit,Pura Studio,"Schaufenberger Straße 61, 52477 Alsdorf",https://www.eversports.de/e/workshop/BItjT7x
