Workshop Name,Workshop Date,Workshop Price,Workshop Units,Workshop Studio,Workshop Address,URL_E
Spinning an der Static,März10Sonntag,"ab 25,00 €",1 Einheit,Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",https://www.eversports.de/e/workshop/SqEYfO3
Favourit Pole Combos and Splitz,Apr20bis Apr 20,"ab 79,00 €",2 Einheiten,Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",https://www.eversports.de/e/workshop/OGUBUS8
Pole Choreo,Apr21Sonntag,"ab 35,00 €",1 Einheit,Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",https://www.eversports.de/e/workshop/VVXdiD8
VALENTIN´S SPECIAL ,Feb03bis Feb 04,"ab 30,00 €",4 Einheiten,The Pole Lounge,"Goethestraße 6b, 39108 Magdeburg",https://www.eversports.de/e/workshop/QD21QTN
Stripped,Feb10Samstag,"ab 39,00 €",1 Einheit,Vertical - Pole Aerial Dance,"Pleicherkirchplatz 15, 97070 Würzburg",https://www.eversports.de/e/workshop/mylmioi
Stripped,Feb10Samstag,"ab 39,00 €",1 Einheit,Vertical - Pole Aerial Dance,"Pleicherkirchplatz 15, 97070 Würzburg",https://www.eversports.de/e/workshop/Yace1e3
Julias Static Transitions,Jan28Sonntag,"ab 25,00 €",1 Einheit,Pura Studio,"Schaufenberger Straße 61, 52477 Alsdorf",https://www.eversports.de/e/workshop/4v8G7Xw
Life is better upside down /Handstand,Feb04Sonntag,"ab 25,00 €",1 Einheit,Pura Studio,"Schaufenberger Straße 61, 52477 Alsdorf",https://www.eversports.de/e/workshop/Gc0_BuG
Valentines Acro Yoga,Feb14Mittwoch,"ab 39,00 €",1 Einheit,Pura Studio,"Schaufenberger Straße 61, 52477 Alsdorf",https://www.eversports.de/e/workshop/BItjT7x
Valentines Poledouble,Feb14Mittwoch,"ab 39,00 €",1 Einheit,Pura Studio,"Schaufenberger Straße 61, 52477 Alsdorf",https://www.eversports.de/e/workshop/7N6VOLN
